Belfast Westlink Roden Street,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
3,V µg/m³,18,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,23,V µg/m³,27,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,18,V µg/m³,22,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,24,V µg/m³,45,V µg/m³,No data,No data,No data,No data,No data,No data
5,V µg/m³,18,V µg/m³,26,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,19,V µg/m³,23,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,25,V µg/m³,38,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,23,V µg/m³,35,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,12,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
1,V µg/m³,8,V µg/m³,9,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,13,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
3,V µg/m³,16,V µg/m³,21,V µg/m³,No data,No data,No data,No data,No data,No data
29,V µg/m³,31,V µg/m³,76,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,32,V µg/m³,64,V µg/m³,No data,No data,No data,No data,No data,No data
37,V µg/m³,41,V µg/m³,98,V µg/m³,No data,No data,No data,No data,No data,No data
41,V µg/m³,56,V µg/m³,119,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,49,V µg/m³,96,V µg/m³,No data,No data,No data,No data,No data,No data
67,V µg/m³,71,V µg/m³,173,V µg/m³,No data,No data,No data,No data,No data,No data
54,V µg/m³,56,V µg/m³,138,V µg/m³,No data,No data,No data,No data,No data,No data
42,V µg/m³,48,V µg/m³,112,V µg/m³,No data,No data,No data,No data,No data,No data
51,V µg/m³,58,V µg/m³,135,V µg/m³,No data,No data,No data,No data,No data,No data
62,V µg/m³,68,V µg/m³,164,V µg/m³,No data,No data,No data,No data,No data,No data
28,V µg/m³,45,V µg/m³,88,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,23,V µg/m³,37,V µg/m³,No data,No data,No data,No data,No data,No data
28,V µg/m³,35,V µg/m³,77,V µg/m³,No data,No data,No data,No data,No data,No data
58,V µg/m³,56,V µg/m³,145,V µg/m³,No data,No data,No data,No data,No data,No data
80,V µg/m³,72,V µg/m³,194,V µg/m³,No data,No data,No data,No data,No data,No data
40,V µg/m³,46,V µg/m³,107,V µg/m³,No data,No data,No data,No data,No data,No data
35,V µg/m³,46,V µg/m³,100,V µg/m³,No data,No data,No data,No data,No data,No data
31,V µg/m³,46,V µg/m³,93,V µg/m³,No data,No data,No data,No data,No data,No data
2,V µg/m³,14,V µg/m³,17,V µg/m³,No data,No data,No data,No data,No data,No data
