Belfast Newtownards Road,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
18,V µg/m³,23,V µg/m³,51,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,19,V µg/m³,38,V µg/m³,No data,No data,No data,No data,No data,No data
18,V µg/m³,25,V µg/m³,53,V µg/m³,No data,No data,No data,No data,No data,No data
7,V µg/m³,13,V µg/m³,24,V µg/m³,No data,No data,No data,No data,No data,No data
21,V µg/m³,31,V µg/m³,62,V µg/m³,No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,No data,No data,No data,No data,No data
15,V µg/m³,21,V µg/m³,43,V µg/m³,No data,No data,No data,No data,No data,No data
16,V µg/m³,25,V µg/m³,51,V µg/m³,No data,No data,No data,No data,No data,No data
46,V µg/m³,40,V µg/m³,111,V µg/m³,No data,No data,No data,No data,No data,No data
18,V µg/m³,25,V µg/m³,52,V µg/m³,No data,No data,No data,No data,No data,No data
8,V µg/m³,11,V µg/m³,24,V µg/m³,No data,No data,No data,No data,No data,No data
12,V µg/m³,19,V µg/m³,37,V µg/m³,No data,No data,No data,No data,No data,No data
9,V µg/m³,11,V µg/m³,25,V µg/m³,No data,No data,No data,No data,No data,No data
15,V µg/m³,21,V µg/m³,44,V µg/m³,No data,No data,No data,No data,No data,No data
23,V µg/m³,27,V µg/m³,63,V µg/m³,No data,No data,No data,No data,No data,No data
14,V µg/m³,28,V µg/m³,49,V µg/m³,No data,No data,No data,No data,No data,No data
10,V µg/m³,17,V µg/m³,32,V µg/m³,No data,No data,No data,No data,No data,No data
38,V µg/m³,36,V µg/m³,95,V µg/m³,No data,No data,No data,No data,No data,No data
13,V µg/m³,23,V µg/m³,44,V µg/m³,No data,No data,No data,No data,No data,No data
24,V µg/m³,31,V µg/m³,67,V µg/m³,No data,No data,No data,No data,No data,No data
