Belfast Stockman's Lane,,,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
34,V µg/m³,30,V µg/m³,82,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,37,V µg/m³,108,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
22,V µg/m³,24,V µg/m³,57,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,25,V µg/m³,64,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
48,V µg/m³,42,V µg/m³,115,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
19,V µg/m³,26,V µg/m³,56,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
24,V µg/m³,26,V µg/m³,63,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
48,V µg/m³,39,V µg/m³,112,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,38,V µg/m³,111,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
68,V µg/m³,42,V µg/m³,146,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
28,V µg/m³,23,V µg/m³,66,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
38,V µg/m³,31,V µg/m³,89,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
26,V µg/m³,21,V µg/m³,60,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,22,V µg/m³,60,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
51,V µg/m³,36,V µg/m³,114,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
56,V µg/m³,45,V µg/m³,131,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,36,V µg/m³,107,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
24,V µg/m³,27,V µg/m³,63,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
12,V µg/m³,14,V µg/m³,32,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
19,V µg/m³,17,V µg/m³,47,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
20,V µg/m³,18,V µg/m³,48,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
30,V µg/m³,27,V µg/m³,73,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,32,V µg/m³,93,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
59,V µg/m³,44,V µg/m³,135,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,36,V µg/m³,105,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
44,V µg/m³,40,V µg/m³,108,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,23,V µg/m³,50,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,26,V µg/m³,58,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,42,V µg/m³,114,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
41,V µg/m³,36,V µg/m³,99,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
53,V µg/m³,44,V µg/m³,126,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
56,V µg/m³,42,V µg/m³,128,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
39,V µg/m³,44,V µg/m³,104,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
57,V µg/m³,43,V µg/m³,130,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
28,V µg/m³,28,V µg/m³,71,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
59,V µg/m³,45,V µg/m³,135,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
30,V µg/m³,46,V µg/m³,91,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,49,V µg/m³,110,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
39,V µg/m³,59,V µg/m³,118,V µg/m³,37,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
74,V µg/m³,57,V µg/m³,171,V µg/m³,46,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
32,V µg/m³,34,V µg/m³,84,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,30,V µg/m³,62,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
48,V µg/m³,40,V µg/m³,114,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,33,V µg/m³,77,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
77,V µg/m³,41,V µg/m³,158,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
72,V µg/m³,49,V µg/m³,160,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
73,V µg/m³,55,V µg/m³,166,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
16,V µg/m³,27,V µg/m³,52,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,43,V µg/m³,104,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
33,V µg/m³,28,V µg/m³,78,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
57,V µg/m³,38,V µg/m³,124,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
36,V µg/m³,33,V µg/m³,89,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
34,V µg/m³,31,V µg/m³,84,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
19,V µg/m³,20,V µg/m³,49,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
32,V µg/m³,29,V µg/m³,79,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,32,V µg/m³,93,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
30,V µg/m³,24,V µg/m³,70,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,39,V µg/m³,109,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,37,V µg/m³,109,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
71,V µg/m³,40,V µg/m³,148,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
39,V µg/m³,34,V µg/m³,94,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
67,V µg/m³,44,V µg/m³,146,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
42,V µg/m³,39,V µg/m³,104,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
34,V µg/m³,31,V µg/m³,83,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,33,V µg/m³,101,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,28,V µg/m³,89,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
49,V µg/m³,36,V µg/m³,111,V µg/m³,24,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,31,V µg/m³,84,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
61,V µg/m³,42,V µg/m³,136,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
37,V µg/m³,31,V µg/m³,88,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
75,V µg/m³,54,V µg/m³,169,V µg/m³,26,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
91,V µg/m³,56,V µg/m³,195,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
54,V µg/m³,44,V µg/m³,127,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,39,V µg/m³,110,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,37,V µg/m³,106,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
132,V µg/m³,60,V µg/m³,263,V µg/m³,34,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
56,V µg/m³,39,V µg/m³,126,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,20,V µg/m³,46,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,34,V µg/m³,94,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
14,V µg/m³,19,V µg/m³,41,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
36,V µg/m³,33,V µg/m³,88,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
70,V µg/m³,40,V µg/m³,148,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
40,V µg/m³,34,V µg/m³,95,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
23,V µg/m³,26,V µg/m³,62,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
87,V µg/m³,54,V µg/m³,188,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
53,V µg/m³,47,V µg/m³,128,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
86,V µg/m³,52,V µg/m³,185,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
22,V µg/m³,26,V µg/m³,60,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
13,V µg/m³,16,V µg/m³,36,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,21,V µg/m³,49,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,22,V µg/m³,48,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
80,V µg/m³,55,V µg/m³,177,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
141,V µg/m³,65,V µg/m³,281,V µg/m³,29,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
74,V µg/m³,55,V µg/m³,169,V µg/m³,14,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,46,V µg/m³,118,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
42,V µg/m³,35,V µg/m³,99,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
39,V µg/m³,34,V µg/m³,93,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
72,V µg/m³,55,V µg/m³,166,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
41,V µg/m³,37,V µg/m³,99,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
110,V µg/m³,68,V µg/m³,237,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
95,V µg/m³,70,V µg/m³,215,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
119,V µg/m³,66,V µg/m³,249,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
81,V µg/m³,48,V µg/m³,172,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
37,V µg/m³,38,V µg/m³,94,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
67,V µg/m³,42,V µg/m³,145,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
49,V µg/m³,46,V µg/m³,122,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
165,V µg/m³,76,V µg/m³,329,V µg/m³,27,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
86,V µg/m³,60,V µg/m³,192,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
42,V µg/m³,35,V µg/m³,99,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,20,V µg/m³,46,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
22,V µg/m³,25,V µg/m³,59,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
97,V µg/m³,61,V µg/m³,209,V µg/m³,35,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
28,V µg/m³,26,V µg/m³,68,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
24,V µg/m³,27,V µg/m³,63,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
51,V µg/m³,53,V µg/m³,131,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
73,V µg/m³,64,V µg/m³,177,V µg/m³,34,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
67,V µg/m³,54,V µg/m³,157,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
31,V µg/m³,37,V µg/m³,84,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
126,V µg/m³,59,V µg/m³,252,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
105,V µg/m³,53,V µg/m³,214,V µg/m³,28,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
99,V µg/m³,55,V µg/m³,207,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
187,V µg/m³,70,V µg/m³,356,V µg/m³,38,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
61,V µg/m³,41,V µg/m³,135,V µg/m³,21,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
46,V µg/m³,38,V µg/m³,109,V µg/m³,18,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
20,V µg/m³,25,V µg/m³,56,V µg/m³,6,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
101,V µg/m³,54,V µg/m³,209,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
27,V µg/m³,28,V µg/m³,69,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
55,V µg/m³,38,V µg/m³,122,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
33,V µg/m³,28,V µg/m³,79,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,23,V µg/m³,50,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
32,V µg/m³,36,V µg/m³,85,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
61,V µg/m³,43,V µg/m³,137,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
59,V µg/m³,47,V µg/m³,138,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
97,V µg/m³,43,V µg/m³,192,V µg/m³,22,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
58,V µg/m³,42,V µg/m³,132,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,28,V µg/m³,82,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
17,V µg/m³,19,V µg/m³,45,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
12,V µg/m³,15,V µg/m³,33,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
37,V µg/m³,29,V µg/m³,86,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,35,V µg/m³,105,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,25,V µg/m³,63,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,27,V µg/m³,66,V µg/m³,19,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,28,V µg/m³,67,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
12,V µg/m³,13,V µg/m³,32,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
8,V µg/m³,10,V µg/m³,22,V µg/m³,13,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
4,V µg/m³,6,V µg/m³,12,V µg/m³,11,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
38,V µg/m³,30,V µg/m³,88,V µg/m³,20,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
12,V µg/m³,15,V µg/m³,34,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
11,V µg/m³,11,V µg/m³,28,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
22,V µg/m³,23,V µg/m³,57,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
33,V µg/m³,34,V µg/m³,85,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
24,V µg/m³,28,V µg/m³,64,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
