Belfast Stockman's Lane,,,,,,,,,,,,,
Nitric oxide,Status,Nitrogen dioxide,Status,Nitrogen oxides as nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status,Modelled Wind Direction,Status,Modelled Wind Speed,Status,Modelled Temperature,Status
9,V µg/m³,11,V µg/m³,26,V µg/m³,7,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
21,V µg/m³,20,V µg/m³,52,V µg/m³,8,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
34,V µg/m³,27,V µg/m³,79,V µg/m³,17,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,30,V µg/m³,83,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
72,V µg/m³,50,V µg/m³,161,V µg/m³,26,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
22,V µg/m³,28,V µg/m³,62,V µg/m³,25,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
27,V µg/m³,32,V µg/m³,73,V µg/m³,16,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
37,V µg/m³,36,V µg/m³,92,V µg/m³,32,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
50,V µg/m³,47,V µg/m³,123,V µg/m³,40,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
33,V µg/m³,39,V µg/m³,89,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
9,V µg/m³,21,V µg/m³,34,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
15,V µg/m³,32,V µg/m³,56,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
33,V µg/m³,40,V µg/m³,91,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
39,V µg/m³,45,V µg/m³,104,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,34,V µg/m³,72,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
No data,V µg/m³,No data,V µg/m³,No data,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
55,V µg/m³,41,V µg/m³,125,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
8,V µg/m³,17,V µg/m³,29,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
58,V µg/m³,53,V µg/m³,141,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
38,V µg/m³,45,V µg/m³,103,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
24,V µg/m³,25,V µg/m³,62,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
23,V µg/m³,28,V µg/m³,64,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,44,V µg/m³,116,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
105,V µg/m³,60,V µg/m³,220,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
54,V µg/m³,51,V µg/m³,133,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
34,V µg/m³,38,V µg/m³,90,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
27,V µg/m³,31,V µg/m³,73,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
23,V µg/m³,26,V µg/m³,62,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
47,V µg/m³,36,V µg/m³,107,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,32,V µg/m³,85,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
26,V µg/m³,27,V µg/m³,66,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
43,V µg/m³,35,V µg/m³,102,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
23,V µg/m³,24,V µg/m³,60,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
26,V µg/m³,35,V µg/m³,75,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
9,V µg/m³,18,V µg/m³,32,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
54,V µg/m³,40,V µg/m³,122,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
61,V µg/m³,45,V µg/m³,139,V µg/m³,No data,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
45,V µg/m³,40,V µg/m³,109,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
43,V µg/m³,37,V µg/m³,102,V µg/m³,26,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
29,V µg/m³,39,V µg/m³,84,V µg/m³,15,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
25,V µg/m³,29,V µg/m³,66,V µg/m³,10,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
18,V µg/m³,27,V µg/m³,56,V µg/m³,12,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
35,V µg/m³,34,V µg/m³,88,V µg/m³,28,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
52,V µg/m³,42,V µg/m³,122,V µg/m³,32,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
49,V µg/m³,41,V µg/m³,115,V µg/m³,9,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
43,V µg/m³,43,V µg/m³,110,V µg/m³,23,V µg/m³ (Ref.eq),No data,No data,No data,No data,No data,No data
