,"Belfast Centre",,,,,,,,,,,,,,,,,,,,,,"Belfast Newtownards Road",,,,,,,,,,,,"Belfast Ormeau Road",,,,,,,,,,,,"Belfast Stockman's Lane",,,,,,,,,,,,,,"Belfast Westlink Roden Street",,,,,,,,,,,
Date,Ozone,Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
10/01/2023,56,"V µg/m³",4,"V µg/m³",18,"V µg/m³",24,"V µg/m³",0,"V µg/m³",0.1,"V mg/m³",10,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",8,"V µg/m³",15,"V µg/m³",27,"V µg/m³","No data","No data","No data","No data","No data","No data",8,"V µg/m³",15,"V µg/m³",27,"V µg/m³","No data","No data","No data","No data","No data","No data",34,"V µg/m³",27,"V µg/m³",80,"V µg/m³",12,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",3,"V µg/m³",16,"V µg/m³",22,"V µg/m³","No data","No data","No data","No data","No data","No data"
11/01/2023,62,"V µg/m³",2,"V µg/m³",22,"V µg/m³",26,"V µg/m³",1,"V µg/m³",0.053,"V mg/m³",12,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",10,"V µg/m³",19,"V µg/m³",33,"V µg/m³","No data","No data","No data","No data","No data","No data",5,"V µg/m³",18,"V µg/m³",26,"V µg/m³","No data","No data","No data","No data","No data","No data",20,"V µg/m³",24,"V µg/m³",54,"V µg/m³",15,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",4,"V µg/m³",19,"V µg/m³",25,"V µg/m³","No data","No data","No data","No data","No data","No data"
12/01/2023,62,"V µg/m³",3,"V µg/m³",18,"V µg/m³",24,"V µg/m³",0,"V µg/m³",0.082,"V mg/m³",12,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",7,"V µg/m³",16,"V µg/m³",28,"V µg/m³","No data","No data","No data","No data","No data","No data",7,"V µg/m³",16,"V µg/m³",26,"V µg/m³","No data","No data","No data","No data","No data","No data",24,"V µg/m³",23,"V µg/m³",59,"V µg/m³",15,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",12,"V µg/m³",17,"V µg/m³",35,"V µg/m³","No data","No data","No data","No data","No data","No data"
13/01/2023,62,"V µg/m³",2,"V µg/m³",13,"V µg/m³",16,"V µg/m³",0,"V µg/m³",0.073,"V mg/m³",9,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",14,"V µg/m³",24,"V µg/m³",45,"V µg/m³","No data","No data","No data","No data","No data","No data",10,"V µg/m³",19,"V µg/m³",34,"V µg/m³","No data","No data","No data","No data","No data","No data",33,"V µg/m³",32,"V µg/m³",82,"V µg/m³",15,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",5,"V µg/m³",17,"V µg/m³",24,"V µg/m³","No data","No data","No data","No data","No data","No data"
14/01/2023,69,"V µg/m³",1,"V µg/m³",9,"V µg/m³",10,"V µg/m³",0,"V µg/m³",0.073,"V mg/m³",6,"V µg/m³ (FIDAS)",3,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",8,"V µg/m³",13,"V µg/m³",26,"V µg/m³","No data","No data","No data","No data","No data","No data",5,"V µg/m³",11,"V µg/m³",18,"V µg/m³","No data","No data","No data","No data","No data","No data",17,"V µg/m³",20,"V µg/m³",45,"V µg/m³",6,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",2,"V µg/m³",10,"V µg/m³",13,"V µg/m³","No data","No data","No data","No data","No data","No data"
15/01/2023,56,"V µg/m³",2,"V µg/m³",17,"V µg/m³",21,"V µg/m³",1,"V µg/m³",0.061,"V mg/m³",9,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",17,"V µg/m³",28,"V µg/m³",53,"V µg/m³","No data","No data","No data","No data","No data","No data",8,"V µg/m³",21,"V µg/m³",34,"V µg/m³","No data","No data","No data","No data","No data","No data",37,"V µg/m³",30,"V µg/m³",86,"V µg/m³",11,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",4,"V µg/m³",17,"V µg/m³",23,"V µg/m³","No data","No data","No data","No data","No data","No data"
16/01/2023,47,"V µg/m³",6,"V µg/m³",27,"V µg/m³",36,"V µg/m³",1,"V µg/m³",0.11,"V mg/m³",8,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",26,"V µg/m³",42,"V µg/m³",81,"V µg/m³","No data","No data","No data","No data","No data","No data",22,"V µg/m³",35,"V µg/m³",69,"V µg/m³","No data","No data","No data","No data","No data","No data",80,"V µg/m³",54,"V µg/m³",177,"V µg/m³",13,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",31,"V µg/m³",43,"V µg/m³",91,"V µg/m³","No data","No data","No data","No data","No data","No data"
17/01/2023,47,"V µg/m³",6,"V µg/m³",22,"V µg/m³",30,"V µg/m³",0,"V µg/m³",0.084,"V mg/m³",6,"V µg/m³ (FIDAS)",4,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",24,"V µg/m³",33,"V µg/m³",71,"V µg/m³","No data","No data","No data","No data","No data","No data",13,"V µg/m³",24,"V µg/m³",43,"V µg/m³","No data","No data","No data","No data","No data","No data",53,"V µg/m³",41,"V µg/m³",121,"V µg/m³",11,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",12,"V µg/m³",24,"V µg/m³",43,"V µg/m³","No data","No data","No data","No data","No data","No data"
18/01/2023,50,"V µg/m³",3,"V µg/m³",19,"V µg/m³",23,"V µg/m³",0,"V µg/m³",0.073,"V mg/m³",9,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",24,"V µg/m³",37,"V µg/m³",73,"V µg/m³","No data","No data","No data","No data","No data","No data",12,"V µg/m³",25,"V µg/m³",44,"V µg/m³","No data","No data","No data","No data","No data","No data",49,"V µg/m³",42,"V µg/m³",117,"V µg/m³",12,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",23,"V µg/m³",30,"V µg/m³",66,"V µg/m³","No data","No data","No data","No data","No data","No data"
19/01/2023,38,"V µg/m³","No data","V µg/m³","No data","V µg/m³","No data","V µg/m³",1,"V µg/m³",0.091,"V mg/m³",16,"V µg/m³ (FIDAS)",8,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",25,"V µg/m³",37,"V µg/m³",76,"V µg/m³","No data","No data","No data","No data","No data","No data",15,"V µg/m³",28,"V µg/m³",50,"V µg/m³","No data","No data","No data","No data","No data","No data",57,"V µg/m³",46,"V µg/m³",134,"V µg/m³",14,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",7,"V µg/m³",24,"V µg/m³",34,"V µg/m³","No data","No data","No data","No data","No data","No data"
20/01/2023,18,"V µg/m³",42,"V µg/m³",50,"V µg/m³",114,"V µg/m³",3,"V µg/m³",0.17,"V mg/m³",24,"V µg/m³ (FIDAS)",13,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",56,"V µg/m³",56,"V µg/m³",142,"V µg/m³","No data","No data","No data","No data","No data","No data",72,"V µg/m³",55,"V µg/m³",165,"V µg/m³","No data","No data","No data","No data","No data","No data",197,"V µg/m³",79,"V µg/m³",382,"V µg/m³",33,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",103,"V µg/m³",64,"V µg/m³",221,"V µg/m³","No data","No data","No data","No data","No data","No data"
21/01/2023,35,"V µg/m³",7,"V µg/m³",29,"V µg/m³",40,"V µg/m³",1,"V µg/m³",0.087,"V mg/m³",13,"V µg/m³ (FIDAS)",7,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",7,"V µg/m³",11,"V µg/m³",21,"V µg/m³","No data","No data","No data","No data","No data","No data",15,"V µg/m³",26,"V µg/m³",48,"V µg/m³","No data","No data","No data","No data","No data","No data",73,"V µg/m³",48,"V µg/m³",159,"V µg/m³",18,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",13,"V µg/m³",36,"V µg/m³",56,"V µg/m³","No data","No data","No data","No data","No data","No data"
22/01/2023,"No data","V µg/m³",2,"V µg/m³",22,"V µg/m³",25,"V µg/m³",0,"V µg/m³",0.081,"V mg/m³",7,"V µg/m³ (FIDAS)",5,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",15,"V µg/m³",21,"V µg/m³",44,"V µg/m³","No data","No data","No data","No data","No data","No data",12,"V µg/m³",25,"V µg/m³",43,"V µg/m³","No data","No data","No data","No data","No data","No data",62,"V µg/m³",42,"V µg/m³",137,"V µg/m³",14,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",12,"V µg/m³",28,"V µg/m³",47,"V µg/m³","No data","No data","No data","No data","No data","No data"
23/01/2023,20,"V µg/m³",12,"V µg/m³",34,"V µg/m³",53,"V µg/m³",1,"V µg/m³",0.099,"V mg/m³",21,"V µg/m³ (FIDAS)",8,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",22,"V µg/m³",31,"V µg/m³",65,"V µg/m³","No data","No data","No data","No data","No data","No data",21,"V µg/m³",31,"V µg/m³",63,"V µg/m³","No data","No data","No data","No data","No data","No data",66,"V µg/m³",49,"V µg/m³",149,"V µg/m³",13,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",9,"V µg/m³",32,"V µg/m³",45,"V µg/m³","No data","No data","No data","No data","No data","No data"
24/01/2023,23,"V µg/m³",8,"V µg/m³",26,"V µg/m³",38,"V µg/m³",0,"V µg/m³",0.057,"V mg/m³",15,"V µg/m³ (FIDAS)",10,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",19,"V µg/m³",29,"V µg/m³",57,"V µg/m³","No data","No data","No data","No data","No data","No data",12,"V µg/m³",23,"V µg/m³",43,"V µg/m³","No data","No data","No data","No data","No data","No data",37,"V µg/m³",31,"V µg/m³",88,"V µg/m³",14,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",4,"V µg/m³",20,"V µg/m³",25,"V µg/m³","No data","No data","No data","No data","No data","No data"
25/01/2023,54,"V µg/m³",2,"V µg/m³",15,"V µg/m³",18,"V µg/m³",0,"V µg/m³",0.084,"V mg/m³",14,"V µg/m³ (FIDAS)",8,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",14,"V µg/m³",26,"V µg/m³",48,"V µg/m³","No data","No data","No data","No data","No data","No data",7,"V µg/m³",21,"V µg/m³",32,"V µg/m³","No data","No data","No data","No data","No data","No data",39,"V µg/m³",36,"V µg/m³",96,"V µg/m³",19,"V µg/m³ (Ref.eq)","No data","No data","No data","No data","No data","No data",23,"V µg/m³",31,"V µg/m³",66,"V µg/m³","No data","No data","No data","No data","No data","No data"
